,player_name,time,longitude,latitude,ressource_id,ressource_type,Game_ID
92,Tenacious Mongoose,2023-05-20 10:23:23-05:00,-74.479275,46.043991,86,Type B,1
93,Cunning Giraffe,2023-05-20 10:23:26-05:00,-74.478044,46.042428,113,Type A,1
94,Graceful Raccoon,2023-05-20 10:23:35-05:00,-74.479099,46.044073,17,Type B,1
95,Silent Squirrel,2023-05-20 10:23:40-05:00,-74.478496,46.046127,26,Type A,1
96,Energetic Badger,2023-05-20 10:23:43-05:00,-74.478929,46.043621,85,Type A,1
97,Cunning Giraffe,2023-05-20 10:23:47-05:00,-74.478044,46.042428,113,Type A,1
98,Wandering Antelope,2023-05-20 10:24:07-05:00,-74.478604,46.042432,72,Type B,1
99,Clever Lion,2023-05-20 10:24:25-05:00,-74.479171,46.044776,21,Type A,1
100,Wandering Antelope,2023-05-20 10:24:39-05:00,-74.478604,46.042432,72,Type B,1
101,Noble Zebra,2023-05-20 10:25:11-05:00,-74.478228,46.045948,27,Type A,1
102,Wandering Antelope,2023-05-20 10:25:24-05:00,-74.478604,46.042432,72,Type B,1
103,Energetic Badger,2023-05-20 10:25:45-05:00,-74.47891,46.043722,15,Type A,1
104,Brave Cheetah,2023-05-20 10:25:49-05:00,-74.478761,46.04327,81,Type A,1
105,Wise Leopard,2023-05-20 10:25:50-05:00,-74.479317,46.045575,3,Type A,1
106,Silent Squirrel,2023-05-20 10:25:53-05:00,-74.478487,46.046225,26,Type B,1
107,Noble Zebra,2023-05-20 10:25:54-05:00,-74.478228,46.045951,27,Type A,1
108,Cunning Giraffe,2023-05-20 10:25:55-05:00,-74.478347,46.042166,70,Type B,1
109,Wandering Antelope,2023-05-20 10:26:01-05:00,-74.478604,46.042432,72,Type B,1
110,Majestic Kangaroo,2023-05-20 10:26:03-05:00,-74.478313,46.042927,5,Type A,1
111,Brave Cheetah,2023-05-20 10:26:08-05:00,-74.478761,46.04327,81,Type A,1
112,Tenacious Mongoose,2023-05-20 10:26:10-05:00,-74.479513,46.044235,84,Type A,1
113,Bold Owl,2023-05-20 10:26:15-05:00,-74.478587,46.043183,106,Type A,1
114,Noble Zebra,2023-05-20 10:26:16-05:00,-74.478228,46.045951,27,Type A,1
115,Wandering Antelope,2023-05-20 10:26:20-05:00,-74.478604,46.042432,72,Type B,1
116,Silent Squirrel,2023-05-20 10:26:24-05:00,-74.478487,46.046225,26,Type A,1
117,Cunning Giraffe,2023-05-20 10:26:27-05:00,-74.478348,46.042121,70,Type B,1
118,Brave Cheetah,2023-05-20 10:26:34-05:00,-74.478831,46.043278,81,Type A,1
119,Majestic Kangaroo,2023-05-20 10:26:42-05:00,-74.478313,46.042927,5,Type A,1
120,Tenacious Mongoose,2023-05-20 10:26:55-05:00,-74.479513,46.044235,84,Type A,1
121,Wise Leopard,2023-05-20 10:26:58-05:00,-74.479258,46.045549,3,Type A,1
122,Silent Squirrel,2023-05-20 10:26:59-05:00,-74.478487,46.046225,26,Type A,1
123,Silent Squirrel,2023-05-20 10:26:59-05:00,-74.478487,46.046225,26,Type A,1
124,Cunning Giraffe,2023-05-20 10:27:06-05:00,-74.478348,46.042121,70,Type A,1
125,Majestic Kangaroo,2023-05-20 10:27:23-05:00,-74.478293,46.042881,5,Type A,1
126,Resilient Otter,2023-05-20 10:27:33-05:00,-74.478463,46.044287,75,Type A,1
127,Silent Squirrel,2023-05-20 10:27:35-05:00,-74.478487,46.046225,26,Type B,1
128,Cunning Giraffe,2023-05-20 10:27:43-05:00,-74.478278,46.042113,70,Type B,1
129,Bold Owl,2023-05-20 10:27:45-05:00,-74.47787,46.042693,106,Type B,1
130,Tenacious Mongoose,2023-05-20 10:27:48-05:00,-74.479513,46.044235,84,Type A,1
131,Silent Squirrel,2023-05-20 10:27:48-05:00,-74.478487,46.046225,26,Type A,1
132,Resilient Otter,2023-05-20 10:27:50-05:00,-74.478463,46.044287,12,Type A,1
133,Noble Zebra,2023-05-20 10:27:54-05:00,-74.478239,46.045955,27,Type A,1
134,Fierce Porcupine,2023-05-20 10:28:03-05:00,-74.479085,46.042168,71,Type A,1
135,Silent Squirrel,2023-05-20 10:28:08-05:00,-74.478487,46.046225,26,Type B,1
136,Cunning Giraffe,2023-05-20 10:28:10-05:00,-74.478343,46.04212,70,Type B,1
137,Bold Owl,2023-05-20 10:28:36-05:00,-74.477853,46.042663,106,Type B,1
138,Cunning Giraffe,2023-05-20 10:28:48-05:00,-74.478403,46.042141,70,Type B,1
139,Silent Squirrel,2023-05-20 10:28:50-05:00,-74.478487,46.046225,26,Type A,1
140,Bold Owl,2023-05-20 10:28:58-05:00,-74.477889,46.042675,106,Type A,1
141,Tenacious Mongoose,2023-05-20 10:29:08-05:00,-74.47955,46.044262,84,Type A,1
142,Cunning Giraffe,2023-05-20 10:29:14-05:00,-74.478335,46.042142,70,Type B,1
143,Bold Owl,2023-05-20 10:29:36-05:00,-74.477825,46.042657,106,Type A,1
144,Silent Squirrel,2023-05-20 10:29:45-05:00,-74.478462,46.046248,26,Type A,1
145,Tenacious Mongoose,2023-05-20 10:29:54-05:00,-74.47955,46.044262,84,Type A,1
146,Cunning Giraffe,2023-05-20 10:29:55-05:00,-74.478309,46.042132,70,Type B,1
147,Majestic Kangaroo,2023-05-20 10:29:59-05:00,-74.478775,46.043192,81,Type A,1
148,Wild Tiger,2023-05-20 10:30:08-05:00,-74.478923,46.043359,83,Type A,1
149,Majestic Kangaroo,2023-05-20 10:30:16-05:00,-74.478803,46.043237,81,Type A,1
150,Wild Tiger,2023-05-20 10:30:40-05:00,-74.4789,46.043405,83,Type A,1
151,Tenacious Mongoose,2023-05-20 10:30:41-05:00,-74.47955,46.044262,84,Type A,1
152,Clever Lion,2023-05-20 10:30:45-05:00,-74.479171,46.044776,21,Type A,1
153,Wild Tiger,2023-05-20 10:31:52-05:00,-74.4789,46.043405,83,Type A,1
154,Cunning Giraffe,2023-05-20 10:32:22-05:00,-74.478292,46.042097,70,Type A,1
155,Majestic Kangaroo,2023-05-20 10:32:25-05:00,-74.479219,46.042994,77,Type A,1
